 domain, category, score, first_seen, last_seen, ports (|)
 www.ameerwolf.co.cc,29,127,2013-09-05,2014-06-10,
 www.openbitcoin.org,35,76,2012-09-14,2014-01-23,80
 020453.api.socdn.com,5,127,2014-07-04,2014-07-14,80
 02d63f.api.socdn.com,5,112,2014-07-04,2014-07-15,80
 553042293.qseach.com,1,120,2014-07-11,2014-07-11,80
 a77547.api.socdn.com,5,112,2014-07-03,2014-07-14,80
 api.admatching.co.kr,35,53,2012-09-18,2014-06-10,80
 iffsgiilkc.myvnc.com,25,120,2014-05-28,2014-05-28,80
 kiwimilk-viet.com.vn,1,97,2014-06-17,2014-06-18,80
 legnalive.no-ip.info,1,57,2012-05-04,2014-07-08,1604 3060 3066
 pagesperso-orange.fr,35,61,2013-04-07,2014-05-09,80
 smm.intrustgroup.com,30,98,2011-11-26,2014-06-18,5721
 windowsservice.co.cc,29,127,2014-04-09,2014-05-21,
 iqnmcnxoslapsdf.cu.cc,27,51,2014-05-02,2014-05-02,80
 lgqddimxnxexgzjq.info,1,52,2014-07-02,2014-07-02,80
 mari0.sd.softonic.com,5,25,2013-10-25,2014-02-16,80
 road-to-dominikana.in,29,124,2014-04-28,2014-05-24,80
 software.informer.com,5,52,2011-10-13,2014-07-14,80
 www.didoa.dns-dns.com,25,120,2014-06-05,2014-06-05,80
 www.hystersisters.com,35,85,2014-04-09,2014-06-18,80
 xiaopang5781.3322.org,1,27,2014-06-27,2014-06-27,8000
 c24.installtraffic.com,35,107,2014-03-08,2014-04-25,80
 expired-host.no-ip.com,25,120,2014-05-02,2014-06-18,80
 fail-obiwan.bissim.org,9,29,2012-07-26,2014-04-10,6667
 features.serveblog.net,25,120,2014-04-09,2014-05-19,80
 hjsplit.sd.softonic.it,5,117,2012-06-26,2014-07-15,80
 marketingemails.com.au,1,108,2013-11-12,2014-06-19,443
 secure.oinstaller8.com,5,97,2013-01-15,2014-07-14,80
 tjbwbuoiklfubewlnd.com,29,127,2013-05-04,2014-04-29,
 blue.aranematsccont.biz,1,62,2013-03-23,2014-06-13,5900
 kamikaz-hacke.zapto.org,1,52,2014-07-02,2014-07-02,2291
 sic-choppers.goracer.de,35,57,2014-05-02,2014-06-12,80
 ww1.ayb.dns-look-up.com,1,55,2013-08-04,2014-07-07,80
 1d452.perfectchoice1.com,29,50,2014-05-30,2014-05-30,
 1dde7.perfectchoice1.com,29,50,2014-05-17,2014-05-17,
 1ee81.perfectchoice1.com,29,50,2014-05-19,2014-05-19,
 25bb2.perfectchoice1.com,29,50,2014-06-16,2014-06-16,
 2719c.perfectchoice1.com,29,127,2014-03-20,2014-04-05,80
 27862.perfectchoice1.com,29,81,2014-05-08,2014-05-08,
 2e6bc.perfectchoice1.com,29,127,2014-03-30,2014-04-27,
 4f086.perfectchoice1.com,29,127,2014-05-29,2014-06-02,
 bcdbcdbcdbcdbcd.3322.org,25,120,2014-03-13,2014-03-13,80
 jetclean.sd.softonic.com,5,60,2014-03-30,2014-07-08,80
 rterybrstutnrsbberve.com,1,127,2013-08-05,2014-07-16,443
 secure.oi-installer3.com,35,55,2012-09-30,2014-06-11,80
 videoget.sd.softonic.com,5,77,2013-08-01,2014-07-07,80
 www.g1ikdcvns3sdsal.info,1,122,2013-04-30,2014-07-14,80
 100200.user-accounts.info,1,117,2013-08-18,2014-07-02,9090
 ahth2aey.dsgeneration.com,24,62,2011-12-23,2014-05-13,80
 download824.mediafire.com,35,79,2014-03-05,2014-05-23,80
 static.sd.nl.softonic.com,5,117,2012-07-27,2014-07-15,80
 tvu-player.sd.softonic.de,5,97,2012-07-27,2014-07-08,80
 upstat.speedmanager.co.kr,1,102,2014-01-29,2014-01-29,80
 downloadus3.teamviewer.com,35,109,2013-06-19,2014-06-14,80
 pptplex.sd.softonic.com.br,5,117,2014-05-22,2014-07-14,80
 secure.2-fusioninstall.com,5,112,2014-03-15,2014-07-14,80
 1.inst.securedownlaoder.com,35,113,2014-02-22,2014-06-16,80
 4292014.gosecureinstall.com,5,72,2014-04-30,2014-07-06,80
 analaloca.chickenkiller.com,1,77,2014-04-09,2014-07-09,3460 3461
 audacity.sd.softonic.com.br,5,112,2014-03-27,2014-07-12,80
 mummy-puzzle.sd.softonic.fr,5,40,2014-04-09,2014-07-05,80
 exhuxn8bsy.konditerskaja.org,1,122,2013-12-30,2014-06-04,8000
 jffahhukrhmlxcbaaewslviby.ru,29,127,2014-06-08,2014-06-10,80
 launcher5.dualitygunz.com.br,35,69,2014-05-27,2014-06-18,80
 d13s4hxploeh15.cloudfront.net,35,103,2014-05-01,2014-07-05,80
 hitman-pro.sd.en.softonic.com,5,122,2013-07-15,2014-07-13,80
 skype-portable.sd.softonic.fr,5,42,2014-06-28,2014-06-30,80
 t20472.nb.host192-168-1-2.com,1,52,2014-05-01,2014-05-01,80
 photo-brush.sd.softonic.com.br,5,42,2013-05-03,2014-06-30,80
 itunes-agent.sd.nl.softonic.com,5,107,2014-07-12,2014-07-13,80
 msi-afterburner.sd.softonic.com,5,30,2014-05-08,2014-05-08,80
 incilzzddutijfapdqwkfjftwgqey.ru,29,86,2014-06-01,2014-06-06,80
 moo0-fileshredder.sd.softonic.it,5,25,2014-05-01,2014-07-02,80
 scifphmcqlrojhhiibwolpvgiwcrg.ru,29,86,2014-06-01,2014-06-06,80
 x11513.nb.host-domain-lookup.com,1,120,2014-05-03,2014-05-03,80
 xenus-link-sleuth.sd.softonic.pl,5,22,2014-06-26,2014-06-26,80
 format-factory-ud.ud.softonic.com,5,112,2013-01-07,2014-07-14,80
 paint-net-portable.sd.softonic.fr,5,67,2014-06-28,2014-07-04,80
 control.app02-04.logmeinrescue.com,30,125,2013-05-01,2014-06-13,443
 driver-booster-free.sd.softonic.de,5,112,2014-07-13,2014-07-14,80
 bigtriibutl.4estacoespaisagismo.com,5,117,2014-04-22,2014-05-08,80
 tema-angry-birds.sd.softonic.com.br,5,82,2014-07-08,2014-07-08,80
 flowchart-to-code.sd.en.softonic.com,5,32,2014-06-17,2014-06-17,80
 website-ripper-copier.sd.softonic.de,5,77,2014-04-13,2014-07-06,80
 zoo-tycoon-2-demo.sd.softonic.com.br,5,50,2014-03-27,2014-05-02,80
 dfx-audio-enhancer.sd.en.softonic.com,5,95,2012-09-07,2014-06-26,80
 angry-birds-theme-win-7.sd.softonic.de,5,77,2012-06-24,2014-07-07,80
 tix38etr4reti3w6z4dhbrf.arcadehaven.co.uk,35,55,2014-06-11,2014-06-11,80
 42i4t8tih4lfmf6zh18606036cemw6.ipcheker.com,1,92,2012-09-24,2012-09-24,80
 5k1237ri1e2rjlb1qvv142ch0l2f66.ipcheker.com,1,87,2012-10-23,2012-10-24,80
 free-avi-video-converter.ud.en.softonic.com,5,27,2014-06-19,2014-06-27,80
 free_video_cutter_joiner.sd.en.softonic.com,5,107,2012-05-28,2014-07-12,80
 windows-live-messenger-2011.sd.softonic.com,5,35,2012-09-04,2014-06-08,80
 vlc-media-player-nightly-build-64bits.sd.softonic.fr,5,122,2014-06-29,2014-07-07,80
 d3.46c.3eaa3.af3d.5bc5f17.51974c8.74a.6.vuveepxqh.answersgroups.in,7,75,2014-07-04,2014-07-04,80
 km8.su,27,72,2013-10-17,2014-05-23,80
 zateo.ru,27,55,2014-04-03,2014-05-06,80
 arnwe.net,1,107,2013-07-22,2014-07-13,80
 asxiu.net,1,67,2014-01-01,2014-06-03,2013
 itbvr.net,1,77,2014-02-01,2014-06-26,80
 lunix.biz,1,62,2014-07-01,2014-07-04,80
 terraz.ru,35,117,2014-03-12,2014-06-17,80
 tu-pc.com,35,117,2013-12-04,2014-06-06,80
 wiwab.com,28,54,2014-01-20,2014-05-05,443
 gogos1.net,37,127,2014-02-17,2014-07-16,80
 howsdk.com,1,112,2012-07-20,2014-06-25,80
 zz-dns.com,29,96,2014-01-16,2014-06-16,80
 immo-tek.de,35,111,2014-06-19,2014-06-28,80
 juh.valc.pl,29,120,2013-04-25,2014-07-13,
 junjunwg.tk,27,76,2014-04-14,2014-05-27,80
 niggazz.com,35,125,2014-05-28,2014-06-08,80
 o2.play9.pl,29,126,2013-01-24,2014-07-15,
 pumypog.com,1,117,2012-01-18,2014-07-09,80
 puvytuq.com,1,117,2012-01-18,2014-07-05,80
 sages.ce.ms,27,31,2013-11-24,2014-04-12,80
 vl.ragom.pl,29,126,2013-01-24,2014-07-11,
 withmoa.com,5,25,2014-05-07,2014-05-07,80
 2wayview.com,1,37,2014-02-21,2014-06-18,80
 41.uqrzo.com,1,50,2014-06-26,2014-07-03,80
 atstools.net,35,113,2014-04-02,2014-05-15,80
 ciwohdh.info,29,116,2013-08-02,2014-03-12,80
 files.pho.to,35,71,2012-09-23,2014-06-19,80
 softendo.com,35,93,2012-10-28,2014-06-18,80
 svhpjwwc.biz,29,100,2013-10-15,2014-04-21,80
 f.eastmoon.pl,29,124,2013-08-02,2014-07-01,
 irc.myg0t.com,9,73,2012-10-11,2014-05-24,6667
 lajmyjvqc.com,1,97,2013-09-09,2014-07-10,443
 motorolam.com,1,40,2011-10-27,2014-04-30,80
 pf.dlcvit.com,5,30,2014-04-16,2014-07-13,80
 savepop.co.kr,35,59,2014-06-11,2014-06-11,80
 star.helli.pl,29,122,2013-10-04,2014-07-14,
 tune-song.net,1,112,2014-01-26,2014-07-14,80
 updatemicd.in,29,127,2013-12-16,2014-04-07,80
 2.nsvhn987.com,1,117,2013-02-28,2014-07-14,8080
 down.ddqsh.org,35,113,2014-03-20,2014-06-04,99
 estatefire.com,1,95,2012-11-07,2014-05-24,80
 etporkmade.org,1,62,2013-01-22,2014-07-04,20001
 explora4x4.com,28,126,2014-05-25,2014-05-25,443
 ifoblzem.if.ua,35,55,2014-06-11,2014-06-11,80
 lare-funer.com,1,122,2014-07-02,2014-07-14,80
 nlstorage.info,5,77,2013-05-28,2014-07-16,80
 update.gsie.cn,35,119,2013-11-23,2014-05-07,80
 web.onetel.com,35,100,2013-12-10,2013-12-23,80
 www.dudulm.com,35,51,2013-12-10,2014-06-09,80
 12210.dtdns.net,27,70,2012-11-06,2014-06-17,443
 2577.sogoui.com,1,102,2014-06-09,2014-07-12,1522 1555 2577 2588 3533 3588 3599
 35125.hulo9.com,29,50,2014-03-26,2014-03-26,81
 49.nsvhn987.com,29,116,2013-09-03,2014-07-12,
 4six1l9d4.co.cc,1,97,2014-05-06,2014-05-06,80
 90337.dnsi9.net,29,50,2014-03-31,2014-03-31,443
 fcoatpercdn.com,5,122,2013-05-01,2014-07-09,80
 fnpemeix.ku3.in,1,80,2014-06-28,2014-07-13,80
 futbol10line.tk,27,52,2014-05-30,2014-05-30,80
 hotdownloads.ru,35,115,2013-10-10,2014-06-13,80
 levelincome.biz,1,72,2013-05-08,2014-04-09,443
 myallergies.org,28,117,2013-12-04,2014-05-21,443
 os2.ziputil.net,5,122,2013-08-04,2014-07-16,80
 software112.com,5,122,2013-12-17,2014-07-10,80
 tj.1zhaoche.com,1,112,2013-09-07,2014-06-11,80
 updateloads.net,29,72,2014-06-19,2014-06-19,
 us.undernet.org,9,125,2011-11-07,2014-07-14,6666 6667 6669 7000
 aclassalerts.com,29,115,2013-08-02,2014-07-13,80
 down.pcdogs.info,1,117,2014-07-09,2014-07-14,7754
 friendsecure.net,29,127,2013-09-17,2014-05-29,80
 imglk5host.co.cc,29,105,2013-08-07,2014-05-05,
 lbindustries.org,1,82,2014-03-08,2014-05-28,80
 lgkxyfeehabvh.ru,29,127,2014-06-05,2014-06-05,80
 manihypnosis.com,1,77,2014-03-01,2014-06-06,80
 ng.coachloan.com,1,82,2012-09-04,2013-05-05,3800 3801 6600 6363
 pds25.egloos.com,35,121,2013-05-31,2014-06-19,80
 pds26.egloos.com,35,121,2013-01-05,2014-06-19,80
 public2.mooo.com,1,97,2014-02-21,2014-06-08,8085
 push3.gewara.com,9,67,2014-03-22,2014-05-18,5222
 ulreazqatf.co.cc,27,56,2013-06-25,2014-05-07,80
 wocao99.3322.org,1,122,2014-02-09,2014-03-17,1631 5522
 wooxichoashe.biz,1,77,2014-04-23,2014-07-07,8080
 www.iepaid.co.cc,29,50,2014-05-30,2014-05-30,
 www2.crawler.com,1,87,2013-08-04,2014-07-09,80 443 5906
 ynks1.dyndns.biz,25,120,2014-04-17,2014-04-17,80
 a.doginhispen.com,1,97,2013-12-22,2014-07-11,80
 c1yao.gorotza.biz,24,24,2014-05-02,2014-05-02,80
 cumhuriyet-mt2.tk,27,84,2014-06-01,2014-06-04,80
 dm02.gdms.lge.com,35,103,2014-01-24,2014-01-24,9002
 freesweetgames.ru,35,93,2014-03-09,2014-05-09,80
 public.uhosti.com,1,35,2014-07-04,2014-07-04,80
 c1.setepicnew.info,5,112,2014-04-19,2014-07-05,80
 chinaljn1.3322.org,1,92,2014-04-26,2014-06-25,8080
 domanaged-scan.com,24,116,2011-09-05,2014-06-14,80
 kosiasudytfert.biz,29,116,2013-09-30,2014-06-04,80
 lipan1991.3322.org,1,82,2014-07-06,2014-07-12,8080
 manage.nellcom.net,30,74,2014-05-25,2014-05-25,5721
 members.tripod.com,16,47,2011-01-11,2014-06-14,
 njsh.cdn.sogou.com,35,83,2012-08-30,2014-06-04,80
 rgzjpcxs.myvnc.com,25,120,2014-03-17,2014-03-17,80
 skycloudsaving.com,1,87,2014-05-06,2014-06-23,80
 tongji888.8800.org,25,120,2013-09-23,2014-04-26,80
 update.bmmedia.net,35,101,2013-09-17,2014-06-15,80
 www.printhelp.info,35,83,2013-11-17,2013-12-12,80
 xoomer.virgilio.it,35,73,2012-08-28,2014-05-25,80
 xsplvrohrwfa.co.uk,29,127,2014-04-04,2014-04-04,80
 860f2.api.socdn.com,5,67,2014-06-20,2014-07-12,80
 8c72a.api.socdn.com,5,127,2014-06-19,2014-07-14,80
 97872615.qseach.com,1,120,2014-07-11,2014-07-11,80
 cef39.api.socdn.com,5,112,2014-06-20,2014-07-14,80
 filevip.yesform.com,35,93,2013-12-20,2014-05-17,80
 jttsfuofgkxtw.co.uk,29,127,2013-10-22,2014-05-29,80
 modern-shipping.biz,28,126,2014-06-16,2014-06-16,443
 squeal-parsed.co.cc,29,50,2014-04-30,2014-04-30,
 vugzdcypz.myftp.biz,25,120,2014-05-27,2014-05-27,80
 wise-crackers.xe.cx,27,30,2014-04-11,2014-04-11,80
 121507168.qseach.com,1,120,2014-07-11,2014-07-11,80
 260363460.qseach.com,1,120,2012-06-14,2012-06-14,80
 40hgubisbgbgw84b.com,1,122,2011-10-22,2014-07-14,443
 abc.technigoyous.net,9,72,2013-04-14,2014-05-23,8585
 b2.st.dns.kuaibo.com,35,123,2012-08-29,2014-06-17,80
 blah.swapixtreme.com,9,27,2013-06-12,2014-04-29,7878
 bobmemo016.no-ip.org,1,77,2012-12-13,2014-03-07,1517
 dxwvyxnrkfidwh.co.uk,29,127,2014-04-04,2014-04-04,80
 faumoussuperstars.ru,28,119,2014-06-03,2014-06-17,443
 hikarahikaru.clan.su,27,117,2012-07-06,2014-07-07,80
 kuqqqgskcsmkgyai.org,1,112,2012-08-08,2014-07-16,80
 myxfshssupnipn.co.uk,29,73,2014-05-24,2014-05-24,80
 opwaoriqabywne.co.uk,29,127,2014-04-15,2014-04-15,80
 videos.p0rn-lover.us,9,106,2012-10-19,2014-06-16,6667
 volxmctciperpc.co.uk,29,127,2014-05-25,2014-05-26,80
 www.baldmanpower.net,9,122,2012-10-04,2014-06-14,80
 www.bluelinkdiag.com,35,109,2013-08-15,2014-05-22,80
 www.gamefabrique.com,35,121,2012-10-28,2014-07-14,80
 7-zip.sd.softonic.com,5,77,2012-06-25,2014-07-07,80
 cdneu.webfilescdn.com,5,117,2012-09-03,2014-07-15,80
 dafwahlskttijrc.co.uk,29,127,2014-05-23,2014-05-23,80
 miwvfuniqmjyyau.co.uk,29,73,2014-05-24,2014-05-24,80
 www.hardcoreroids.com,24,75,2014-04-13,2014-05-26,80
 02b641e.netsolhost.com,35,51,2013-01-03,2014-06-09,80
 calibre.sd.softonic.it,5,102,2014-01-27,2014-07-12,80
 dl53.centerinstall.net,35,121,2014-04-23,2014-06-09,80
 fy-memo.sd.softonic.jp,5,72,2013-10-06,2014-07-12,80
 localdns.servehttp.com,25,120,2014-05-05,2014-05-06,8080
 rtynuuimryervwsevw.com,29,34,2012-08-13,2014-04-15,
 www.nimbacreations.com,1,92,2014-02-26,2014-04-04,80
 approvaldesignteam1.com,29,127,2013-06-11,2014-05-14,
 chandler.sd.softonic.fr,5,92,2014-07-06,2014-07-06,80
 download2.media-get.com,35,125,2013-04-12,2014-06-19,80
 easybcd.sd.softonic.com,5,72,2012-08-15,2014-07-03,80
 fishdom.sd.softonic.com,5,42,2014-06-16,2014-06-30,80
 gimp.sd.nl.softonic.com,5,77,2012-07-30,2014-07-07,80
 packaging-labelling.com,28,125,2014-01-21,2014-06-19,443
 spotify.sd.softonic.com,5,52,2012-05-27,2014-06-23,80
 stololopolitradeyly.com,29,127,2014-03-12,2014-05-07,80
 1c5bc.perfectchoice1.com,29,127,2014-02-21,2014-04-03,
 1e4bd.perfectchoice1.com,29,98,2014-04-28,2014-06-18,
 259ed.perfectchoice1.com,29,50,2014-06-13,2014-06-13,
 29178.perfectchoice1.com,29,127,2014-04-19,2014-06-03,
 36b4e.perfectchoice1.com,29,100,2014-05-09,2014-05-18,
 imp.premiuminstaller.com,5,122,2012-10-18,2014-07-16,80
 r1.takeorleaveaddon.info,35,115,2014-04-05,2014-05-13,80
 scan.armorforandroid.com,38,122,2013-06-30,2014-07-14,80
 secure.fusioninstall.com,5,77,2013-10-18,2014-07-10,80
 storage.dobreprogramy.pl,35,123,2013-04-20,2014-06-15,80
 ww35.do-managed-scan.com,24,72,2013-11-06,2014-05-23,80
 jackhammer2060.site40.net,1,25,2014-07-05,2014-07-05,80
 patron.tweethashcount.com,7,107,2014-07-12,2014-07-12,80
 secure.3-pn-installer.com,35,123,2014-02-19,2014-06-12,80
 uuzmu1matzec9z8.faphib.ru,5,117,2014-07-09,2014-07-15,80
 www.minecraftprojects.net,35,121,2014-05-08,2014-05-23,80
 abiword.ud.en.softonic.com,5,52,2014-05-16,2014-06-26,80
 dns-lb01.foxitsoftware.com,35,55,2012-10-29,2014-06-11,80
 download.shoppingchip.info,35,113,2013-09-18,2014-06-17,80
 nimbuzz.sd.en.softonic.com,5,55,2012-08-17,2014-07-15,80
 picpick.sd.en.softonic.com,5,32,2013-08-06,2014-06-28,80
 twitter.sd.softonic.com.br,5,35,2014-05-08,2014-07-08,80
 ad-aware.sd.en.softonic.com,5,40,2012-05-25,2014-07-09,80
 autorun-pro.sd.softonic.com,5,77,2012-06-09,2014-07-04,80
 pes-2013.sd.nl.softonic.com,5,22,2014-06-16,2014-06-26,80
 sussalawrence.1001rolik.com,5,117,2014-05-05,2014-05-08,80
 tor-browser.sd.softonic.com,5,107,2014-07-09,2014-07-13,80
 jbnjyteilrthecqgiyxtokjwk.ru,29,127,2014-06-08,2014-06-08,80
 spintires.sd.en.softonic.com,5,87,2013-08-06,2014-06-30,80
 www.free-audio-converter.net,35,107,2012-10-23,2014-06-09,80
 adaptablegimp.sd.softonic.com,5,30,2014-05-07,2014-05-09,80
 diljlaqpzhuwctswcozwcbipeq.ru,29,127,2014-06-01,2014-06-05,80
 dvdfab-com.sd.nl.softonic.com,5,32,2014-06-28,2014-06-28,80
 e20037.nb.host192-168-1-2.com,1,67,2014-05-03,2014-05-03,80
 ios-skin-pack.sd.softonic.com,5,87,2014-07-07,2014-07-07,80
 lnwcozzpxypzpqohtwrdqobueq.ru,29,127,2014-06-01,2014-06-05,80
 ocqlvjrizmjhwwouhqovaqcadi.ru,29,127,2014-06-01,2014-06-06,80
 s21307.nb.host192-168-1-2.com,1,67,2014-05-03,2014-05-03,80
 sqwandroidv1.chinacall365.com,37,35,2014-05-02,2014-07-14,80
 usbrescuex.sd.en.softonic.com,5,35,2014-04-09,2014-05-22,80
 downloadspot6.nextgencoup.info,35,57,2014-05-22,2014-06-12,80
 install2.optimum-installer.com,5,117,2012-07-20,2014-07-16,80
 text2speech.sd.softonic.com.br,5,40,2014-05-08,2014-05-08,80
 2325928930-17.estatehack.uni.me,35,53,2014-06-10,2014-06-10,80
 daemon-tools.sd.en.softonic.com,5,117,2012-07-27,2014-07-15,80
 r9363.nb.host-domain-lookup.com,1,120,2014-07-05,2014-07-05,80
 samsung-kies.sd.nl.softonic.com,5,45,2013-09-28,2014-07-11,80
 zombies-windows.sd.softonic.com,5,82,2014-07-07,2014-07-07,80
 xsqsnfbanjvcyvwgmmvamdjbtbeyd.ru,29,86,2014-06-01,2014-06-06,80
 electric-sheep.sd.en.softonic.com,5,25,2012-07-31,2014-07-12,80
 minecraft-by-zyczu.sd.softonic.pl,5,45,2014-01-24,2014-06-06,80
 minilua.miniluacom.netdna-cdn.com,35,104,2014-01-24,2014-01-24,80
 usb-flash-security.sd.softonic.pl,5,35,2012-08-16,2014-06-30,80
 camtasia-studio.sd.en.softonic.com,5,107,2012-07-27,2014-07-13,80
 easy-wifi-radar.sd.softonic.com.br,5,87,2014-04-04,2014-07-09,80
 freemusicdownloader.sd.softonic.jp,5,77,2013-11-24,2014-07-07,80
 mpeg-streamclip.sd.en.softonic.com,5,35,2014-03-25,2014-06-08,80
 tower-of-heaven.sd.en.softonic.com,5,117,2014-07-14,2014-07-15,80
 picture-packages.sd.en.softonic.com,5,45,2014-03-25,2014-04-27,80
 windows-7-sp1-64bits.sd.softonic.fr,5,22,2014-06-10,2014-06-15,80
 governor-of-poker.sd.nl.softonic.com,5,77,2014-05-13,2014-07-07,80
 ad7e5c6c1bd9e6bcd143e41784bcb7a.co.cc,27,83,2014-04-15,2014-06-03,80
 faststone-image-viewer.sd.softonic.fr,5,87,2012-07-31,2014-07-07,80
 maxthon-cloud-browser.sd.softonic.com,5,32,2013-05-20,2014-06-28,80
 pokemon-revolution.sd.en.softonic.com,5,87,2013-04-08,2014-07-09,80
 advanced-systemcare.sd.nl.softonic.com,5,107,2012-10-23,2014-07-10,80
 mkv-converter-studio.sd.softonic.com.br,5,30,2013-12-17,2014-06-28,80
 super-chuck-norris-bros.sd.softonic.com,5,42,2014-06-25,2014-06-30,80
 cmpmagnettvcom.maynemyltf.netdna-cdn.com,35,115,2013-11-19,2014-06-13,80
 easy-duplicate-finder.sd.en.softonic.com,5,40,2012-08-06,2014-05-18,80
 photo-booth-fur-windows-7.sd.softonic.de,5,35,2014-04-08,2014-04-10,80
 y6knfyfh83spsrf4vnxx7lf.arcadehaven.co.uk,35,53,2014-06-10,2014-06-10,80
 universal-theme-patcher.sd.en.softonic.com,5,97,2013-08-06,2014-07-11,80
 12886ln056596n5qu3sq656954ae1l.ipcheker.com,1,97,2014-07-11,2014-07-11,80
 646k3i7a0w8c7m4c41w7k21lbc159k.ipcheker.com,1,87,2012-10-08,2012-12-29,80
 6pfk5vpcn41x031728p5d4ktzj9296.ipcheker.com,1,107,2012-10-06,2012-10-06,80
 zvud90wcc30tn9mm963o440q4q296p.ipcheker.com,1,87,2012-08-23,2012-08-23,80
 utililab-system-optimizer.ud.en.softonic.com,5,117,2014-07-14,2014-07-15,80
 desktop_plagiarism_checker.sd.en.softonic.com,5,77,2014-03-31,2014-07-07,80
 nginx01-1891472471.us-east-1.elb.amazonaws.com,35,113,2013-09-02,2014-07-14,80
 seven-remix-xp-black-edition.sd.softonic.com.br,5,35,2014-05-05,2014-05-07,80
 ssl-install-servers-1203487703.us-east-1.elb.amazonaws.com,35,123,2014-02-24,2014-06-19,80
 0-0-0-0-0-0-0-0-0-0-0-0-0-13-0-0-0-0-0-0-0-0-0-0-0-0-0.info,29,127,2013-10-18,2014-05-17,80
 0-0-0-0-0-0-0-0-0-0-0-0-0-18-0-0-0-0-0-0-0-0-0-0-0-0-0.info,27,85,2013-05-12,2014-06-21,80
 0-0-0-0-0-0-0-0-0-0-0-0-0-22-0-0-0-0-0-0-0-0-0-0-0-0-0.info,29,52,2013-12-29,2014-05-03,80
 elg.cc,28,82,2014-03-25,2014-06-02,443
 tqzr.su,27,54,2013-11-18,2014-05-05,80
 gami1.com,29,127,2014-03-11,2014-04-09,80
 mtfsl.com,28,83,2013-11-05,2014-04-15,443
 ssedcx.tk,27,106,2014-06-17,2014-06-26,80
 youpic.su,27,67,2013-08-28,2014-05-18,80
 ypool.net,40,122,2013-12-01,2014-07-11,8080 8081 8082 8083 8084 8085 8086 8087 9090 10034
 crdclub.su,27,80,2014-05-31,2014-05-31,80
 dchamt.com,28,124,2013-11-15,2014-06-19,443
 dl.zona.ru,35,127,2012-12-26,2014-06-17,80
 systemx.tk,27,112,2014-05-03,2014-05-03,80
 www.4in.cn,1,52,2014-05-01,2014-07-02,80
 bgr.runk.pl,29,122,2013-01-22,2014-07-09,
 ds-nice.com,35,53,2013-11-20,2014-06-10,80
 hookbug.com,1,72,2014-02-01,2014-07-06,5151
 ppdistro.us,35,117,2013-11-19,2014-06-11,80
 pwn.a78.org,35,53,2014-04-30,2014-05-15,80
 sm.pamip.ru,29,125,2013-05-13,2014-07-10,
 vocyzit.com,1,127,2013-03-21,2014-07-09,80
 www.cfem.tk,27,63,2013-11-07,2014-05-14,80
 yghqlyz.com,1,37,2014-04-03,2014-07-04,80
 yxcs.8xc.me,1,57,2014-07-03,2014-07-03,9324
 dl.ividi.org,5,117,2013-03-15,2014-07-16,80
 fandoogh1.in,1,82,2014-07-02,2014-07-05,80
 igryfilmy.ru,5,117,2014-05-05,2014-05-05,80
 intarefc.com,28,122,2014-04-29,2014-06-17,443
 iua.duba.net,1,122,2012-04-25,2014-07-16,80
 nn.16791.com,1,25,2014-03-13,2014-07-08,80
 pcemon.co.cc,29,50,2014-06-04,2014-06-04,
 photovolt.ro,1,67,2014-04-01,2014-06-19,80
 pool.dal.net,9,98,2013-04-17,2014-05-22,6667 6666
 song-cnd.net,1,107,2014-03-23,2014-07-04,80
 www.xz268.tk,27,71,2014-05-22,2014-05-22,80
 xizartos.biz,29,127,2014-02-03,2014-05-29,80
 aaej.ethv.biz,1,82,2013-08-30,2014-07-08,8000
 arsenio.co.cc,27,35,2013-05-20,2014-04-18,8080
 astonsoft.com,35,115,2013-12-20,2014-05-26,80
 awdx.3322.org,25,120,2014-03-18,2014-03-18,80
 ftp.mail15.su,27,72,2011-09-27,2014-05-23,80
 gtoamds.in.ua,7,123,2014-07-16,2014-07-16,80
 mqvbi-jloa.in,29,100,2014-03-24,2014-03-24,80
 pay.123yi.com,1,112,2014-06-10,2014-07-14,9898
 pilokgjl.info,29,127,2014-04-23,2014-04-23,80
 reflexive.com,6,123,2012-08-26,2014-07-07,80
 seatqwerti.tk,27,52,2014-05-03,2014-07-03,80
 www.god74.com,35,125,2014-07-03,2014-07-15,80
 www.ziddu.com,35,119,2014-05-08,2014-05-08,80
 z.joyyv01.com,1,112,2013-05-24,2014-05-05,6511
 183.wap517.net,29,127,2014-02-26,2014-06-08,
 a1.zhaitu.info,38,72,2013-08-10,2014-07-15,80
 api.cliphot.me,37,62,2014-07-03,2014-07-08,80
 appinstall.net,1,107,2014-03-19,2014-07-11,80
 bolidesoft.com,35,115,2013-02-16,2014-06-07,80
 dologens.cz.cc,27,123,2012-06-26,2014-05-12,80
 ftp.tripod.com,1,127,2012-01-21,2014-07-16,21
 gostatupgo.com,35,91,2014-07-02,2014-07-02,80
 jesso.3322.org,1,72,2013-07-29,2014-07-06,8111
 kndericond.com,1,22,2013-03-19,2014-06-17,80
 sharesetget.in,35,117,2013-10-11,2014-06-04,80
 tablefruit.net,1,80,2013-08-05,2014-05-31,80
 vinayakweb.com,1,117,2014-01-17,2014-06-18,443
 www.tucows.com,35,121,2011-10-14,2014-06-19,80
 xserbiax.bl.ee,6,75,2014-06-21,2014-06-21,80
 ymelie-ryki.ru,35,115,2013-12-28,2013-12-28,80
